ID,Name,Gender,Age,Height (cm),Weight (kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal
19695,Patrick Lewis Chan,M,23,168,67,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
19863,Jean-Frdric Chapuis,M,24,172,83,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,Gold
20181,Chen Dequan,M,18,176,66,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 5 000 metres Relay,Bronze
20478,Ilya Grigoryevich Chernousov,M,27,175,75,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
21248,Joss Christensen,M,22,185,79,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,Gold
21357,Julie Wu Chu,F,31,173,67,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
21814,Kelly Clark,F,30,163,61,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Bronze
22496,Dario Alonzo Cologna,M,27,179,74,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Gold
22496,Dario Alonzo Cologna,M,27,179,74,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Gold
23464,Charle Cournoyer,M,22,173,68,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze
23615,Kendall Coyne,F,21,157,57,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
23793,"Christopher ""Chris"" Creveling",M,27,178,70,United States,USA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 5 000 metres Relay,Silver
23930,Sidney Patrick Crosby,M,26,180,90,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
24558,Natalia Barbara Czerwonka,F,25,177,70,Poland,POL,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Silver
25330,Melodie Daoust,F,22,163,71,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
25713,Meryl Elizabeth Davis,F,27,160,49,United States-1,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
25713,Meryl Elizabeth Davis,F,27,160,49,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
26200,Bob Johannes Carolus de Jong,M,37,181,82,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 10 000 metres,Bronze
26923,Brianna Decker,F,22,163,67,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
27049,Alex Deibold,M,27,185,86,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Boardercross,Bronze
27442,Albert Mikhaylovich Demchenko,M,42,185,95,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,Silver
27442,Albert Mikhaylovich Demchenko,M,42,185,95,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver
27609,Aleksandr Vladimirovich Denisyev,M,22,189,100,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver
28464,Thomas Diethart,M,21,172,60,Austria,AUT,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Silver
29305,Darya Vladimirovna Domracheva,F,27,168,58,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold
29305,Darya Vladimirovna Domracheva,F,27,168,58,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Gold
29305,Darya Vladimirovna Domracheva,F,27,168,58,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,Gold
29671,Drew Doughty,M,24,185,92,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
29972,Daumants Dreikens,M,29,193,108,Latvia-1,LAT,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Silver
30070,Marie-ve Drolet,F,32,167,60,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Silver
30122,Greg Drummond,M,25,171,63,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Silver
30337,"Matthew ""Matt"" Duchene",M,23,180,91,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
30453,Chlo Dufour-Lapointe,F,22,165,61,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Silver
30454,Justine Dufour-Lapointe,F,19,164,54,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
30475,Meghan Duggan,F,26,178,73,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
30491,Meagan Duhamel,F,28,148,48,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
30509,Julia Dujmovits,F,26,168,60,Austria,AUT,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Slalom,Gold
30526,Martins Dukurs,M,29,178,75,Latvia,LAT,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,Silver
30948,Robin Duvillard,M,30,178,71,France,FRA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
31127,Yuliya Valentynivna Dzhyma,F,23,166,66,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
31391,Simon Eder,M,30,186,79,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
31411,Johan Niklas Edin,M,28,171,80,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
31419,Ulf Niklas Alexander Edler,M,27,191,98,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
31592,Romy Eggimann,F,18,157,54,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
31863,Oliver Oscar Emanuel Ekman Larsson,M,22,188,86,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32906,Sven Jimmie Ericsson,M,33,187,94,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32907,Dan Ola Jonathan Ericsson (Marklund-),M,29,195,102,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32978,Carl Wilhelm Loui Eriksson,M,28,188,89,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
33424,Aja L. Evans,F,25,178,77,United States-2,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Bronze
33650,Vesna Fabjan,F,28,170,62,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze
33918,Maiken Caspersen Falla,F,23,162,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold
33949,Fan Kexin,F,20,170,55,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 1 000 metres,Silver
34163,Kaitlyn Brooke Farrington,F,24,163,57,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Gold
34230,Olga Aleksandrovna Fatkulina,F,24,172,62,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's 500 metres,Silver
34637,Anna Fenninger (-Veith),F,24,166,64,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,Gold
34637,Anna Fenninger (-Veith),F,24,166,64,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
35083,Nicole Fessel,F,30,170,55,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
35738,Ann Kristin Aafedt Flatland,F,31,173,62,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
36035,"Christopher ""Chris"" Fogt",M,30,183,93,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Bronze
36154,Arianna Fontana,F,23,164,63,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver
36154,Arianna Fontana,F,23,164,63,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 1 500 metres,Bronze
36154,Arianna Fontana,F,23,164,63,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Bronze
36347,Sarah Forster,F,20,169,55,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
36383,Laura Michele Fortino,F,23,164,62,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
36512,Martin Fourcade,M,25,183,73,France,FRA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Gold
36512,Martin Fourcade,M,25,183,73,France,FRA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 15 kilometres Mass Start,Silver
36512,Martin Fourcade,M,25,183,73,France,FRA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,Gold
36897,Angela Frautschi,F,26,169,73,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
37087,Eric Frenzel,M,25,174,57,Germany,GER,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Normal Hill / 10 km  Individual,Gold
37087,Eric Frenzel,M,25,174,57,Germany,GER,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Silver
37115,Severin Freund,M,25,185,67,Germany,GER,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Gold
37370,Lyndsey Fry,F,21,173,77,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
37371,Ryan Fry,M,35,175,80,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
37925,Jean-Marc Gaillard,M,33,179,72,France,FRA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
38169,Nevin Galmarini,M,27,172,74,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Silver
38449,Yevgeny Aleksandrovich Garanichev,M,25,169,68,Russia,RUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,Bronze
38977,Selina Gasparin,F,29,163,52,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,Silver
39377,Natalie Geisenberger,F,26,183,76,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Women's Singles,Gold
39377,Natalie Geisenberger,F,26,183,76,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Gold
39876,Ryan Getzlaf,M,28,193,100,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
40586,Dominique Gisin,F,28,172,68,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
41011,"Nicholas ""Nick"" Goepper",M,19,183,73,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,Bronze
41104,"Grace Elizabeth ""Gracie"" Gold",F,18,165,54,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
41424,Gong Sang-Jeong,F,17,161,50,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Gold
41688,Michael Goodfellow,M,25,184,88,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Silver
42155,Jrgen Nyland Graabak,M,22,185,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Large Hill / 10 km  Individual,Gold
42155,Jrgen Nyland Graabak,M,22,185,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
42244,Olga Borisovna Graf,F,30,160,56,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's 3 000 metres,Bronze
42244,Olga Borisovna Graf,F,30,160,56,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
42404,Mikael Antero Granlund,M,21,179,83,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
42724,Teja Gregorin,F,33,171,56,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
42798,Jamie Greubel (-Poser),F,30,175,76,United States-2,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Bronze
42929,Vladimir Viktorovich Grigoryev,M,31,178,83,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 1 000 metres,Silver
42929,Vladimir Viktorovich Grigoryev,M,31,178,83,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 5 000 metres Relay,Gold
43139,Stefan Groothuis,M,32,181,78,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 1 000 metres,Gold
43267,Bernhard Gruber,M,31,185,71,Austria,AUT,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Bronze
44137,Lara Gut,F,22,160,58,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
44433,Anna Margret Haag (Hansson-),F,27,163,58,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
44694,Carl Oliver Ruud Hagelin,M,25,182,85,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
45242,Charles Hamelin,M,29,175,71,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 1 500 metres,Gold
45250,"Daniel ""Dan"" Hamhuis",M,31,185,92,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
45272,Claire Hamilton,F,25,170,63,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
45305,Erin Mullady Hamlin,F,27,170,65,United States,USA,2014 Winter,2014,Winter,Sochi,Luge,Luge Women's Singles,Bronze
45489,Han Tianyu,M,17,173,65,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 1 500 metres,Silver
45489,Han Tianyu,M,17,173,65,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 5 000 metres Relay,Bronze
45869,Yuzuru Hanyu,M,19,171,NA,Japan,JPN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Men's Singles,Gold
46095,"Eric J. ""E.J."" Harnden",M,30,185,84,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
46098,Ryan Harnden,M,27,183,91,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
46591,Ola Vigen Hattestad,M,31,186,85,Norway,NOR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold
46822,Michael Haybck,M,22,182,65,Austria,AUT,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Silver
47137,Jayna Hefford,F,36,163,63,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
47140,Beat Hefti,M,36,183,110,Switzerland-1,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,Silver
47457,Carl Marcus Joakim Hellner,M,28,183,75,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver
47457,Carl Marcus Joakim Hellner,M,28,183,75,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
48175,Denise Herrmann,F,25,175,61,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
48343,Jessica Hewitt,F,27,165,53,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Silver
48466,Juuso Hietanen,M,28,180,85,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
48761,Ayumu Hirano,M,15,160,50,Japan,JPN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,Silver
48769,Taku Hiraoka,M,18,171,63,Japan,JPN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,Bronze
48817,Marcel Hirscher,M,24,173,73,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
48872,Niklas Sivert Hjalmarsson,M,26,191,94,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
49094,Lukas Hofer,M,24,175,62,Italy,ITA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Bronze
49178,Maria Hfl-Riesch,F,29,182,78,Germany,GER,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,Silver
49178,Maria Hfl-Riesch,F,29,182,78,Germany,GER,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,Gold
49304,"Steven ""Steve"" Holcomb",M,33,178,104,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,Bronze
49304,"Steven ""Steve"" Holcomb",M,33,178,104,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Bronze
49515,Anna Ida Holmlund,F,26,183,76,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Bronze
49953,Fanny Welle-Strand Horn (-Birkeland),F,25,174,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
50161,Nicole Hosp,F,30,174,70,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,Bronze
